start,Waypoint number,Beaufort state (1-10),Boat speed (kmph),"Distance travelled (odometer, km)",Visibility (WGF; all out of 3),Number of fishing boats: small/medium,Number of fishing boats: large,Number of tourist boats,Comments,_index
2023-12-09T09:24:56.388+05:30,125,,12.0,28.6,121,,,,,103
2023-12-09T09:32:37.502+05:30,126,,12.0,30.2,211,,2,2,,104
2023-12-09T09:39:16.674+05:30,128,,13.0,31.6,121,,,,,105
2023-12-09T09:44:00.612+05:30,129,,12.0,32.6,121,,,,,106
2023-12-09T10:12:58.991+05:30,130,,12.7,34.1,111,,,,,107
2023-12-09T10:17:19.548+05:30,131,,11.9,35.0,111,,,,,108
2023-12-09T10:22:02.467+05:30,132,,12.2,36.0,111,,,,,109
2023-12-09T10:30:55.881+05:30,133,,13.0,37.8,111,,,,4 trawlers and 10 fishing boats docked. Clear waters,110
2023-12-09T10:37:06.038+05:30,134,,13.0,39.1,121,,,,,111
2023-12-09T10:41:17.726+05:30,135,,13.0,40.0,221,,,,Multiple trawlers and boats docked ,112
2023-12-09T10:47:31.928+05:30,136,,12.1,41.3,221,,,,3 boats 2 trawlers docked. Parasailing nearby,113
2023-12-09T10:54:22.809+05:30,137,,13.4,42.9,211,,,,Few tourist boats around,114
2023-12-09T11:00:58.539+05:30,138,,12.8,44.3,221,,,1,Parasailing ,115
2023-12-09T11:07:26.316+05:30,139,,11.5,45.7,221,,,,,116
2023-12-09T11:13:22.898+05:30,140,,13.0,46.9,121,,,2,No dolphin watching boats. 6 fishing boats docked at varca ,117
2023-12-09T11:25:39.727+05:30,143,,13.2,49.3,111,,,,1 boat fishing far into the sea,118
2023-12-09T11:31:10.319+05:30,144,,13.1,50.6,221,,,,,119
2023-12-09T11:36:18.843+05:30,145,,12.1,51.7,121,,,,,120
2023-12-09T11:41:22.313+05:30,147,,12.5,52.8,111,,1,,,121
2023-12-09T11:47:48.957+05:30,148,,12.8,54.2,111,,,,Few tourist (Dolphin) and fishing boats parked ,122
2023-12-09T11:52:51.849+05:30,149,,13.2,55.2,511,,,,,123
2023-12-09T12:00:18.685+05:30,151,,14.0,56.7,221,,,,Few large trawlers parked,124
2023-12-09T12:05:59.958+05:30,151,,14.0,58.0,221,,,,4 trawlers parked,125
2023-12-09T12:11:04.880+05:30,152,,12.5,59.1,221,,,,,126
2023-12-10T06:47:59.064+05:30,153,3,15.4,0.1,111,2,1,,Cloudy day,127
2023-12-10T06:53:06.989+05:30,154,,13.0,1.2,111,11,,,,128
2023-12-10T06:58:24.122+05:30,155,,12.6,2.4,111,,2,,,129
2023-12-10T07:02:58.905+05:30,156,,12.2,3.4,111,,,,,130
2023-12-10T07:09:10.715+05:30,157,,12.6,4.7,111,1,,,,131
2023-12-10T07:13:46.043+05:30,158,,12.1,5.7,111,2,,,,132
2023-12-10T07:19:35.878+05:30,159,,12.8,6.9,111,,,1,Looks like a dolphin watching boat. Not watching dolphins now,133
2023-12-10T07:24:52.169+05:30,160,,12.3,8.1,111,,,,This area is beautiful,134
2023-12-10T07:29:21.129+05:30,161,,13.0,9.0,111,,,,,135
2023-12-10T07:35:21.499+05:30,162,,13.5,10.4,211,1,1,,,136
2023-12-10T07:40:41.892+05:30,163,,12.9,11.4,211,2,1,,,137
2023-12-10T07:49:05.715+05:30,164,,12.0,13.0,121,1,1,,Large boats are not fishing,138
2023-12-10T07:55:03.486+05:30,165,,11.9,14.1,221,1,,,,139
2023-12-10T07:59:54.323+05:30,166,,12.0,15.1,211,,2,,,140
2023-12-10T08:04:24.969+05:30,167,,10.5,16.0,221,1,,,,141
2023-12-10T08:07:00.303+05:30,168,,11.0,16.5,221,,,,,142
2023-12-10T08:15:35.373+05:30,169,,11.0,18.1,221,,2,,,143
2023-12-10T08:21:46.028+05:30,171,,12.0,19.4,211,,,,,144
2023-12-10T08:34:21.445+05:30,173,,11.2,22.0,311,,,,1 trawler travelling,145
2023-12-10T08:40:14.172+05:30,174,,12.0,23.0,321,,,,,146
2023-12-10T08:44:53.817+05:30,175,,11.0,23.9,211,,1,,Trawler travelling,147
2023-12-10T08:54:35.846+05:30,176,,13.6,25.8,221,,,,,148
2023-12-10T09:03:38.826+05:30,179,,12.0,27.5,221,3,1,2,Dolphin watching boats at Agonda,149
2023-12-10T09:10:50.849+05:30,180,,13.0,28.9,311,1,,,,150
2023-12-10T09:15:58.521+05:30,181,,10.0,29.9,221,,,,,151
2023-12-10T09:24:13.928+05:30,182,,12.5,31.5,221,,,3,Dolphin watching and 2 kayaks,152
2023-12-10T09:28:45.855+05:30,184,,11.0,32.4,121,,,,,153
2023-12-10T09:35:27.946+05:30,185,,11.5,33.7,111,4,,,Non motorised line fishing boats,154
2023-12-10T09:43:44.850+05:30,187,,13.4,35.4,221,,,,,155
2023-12-10T09:48:25.499+05:30,188,,12.0,36.3,221,,,,,156
2023-12-10T09:51:10.652+05:30,189,,12.5,36.9,221,,,,,157
2023-12-10T09:56:54.526+05:30,191,,11.0,38.0,221,,,,,158
2023-12-10T10:04:08.871+05:30,192,,10.5,39.4,221,,,,,159
2023-12-10T10:08:47.668+05:30,193,,12.6,40.4,221,,,,,160
2023-12-10T10:17:29.008+05:30,196,,12.8,42.3,221,,,,,161
2023-12-10T10:24:31.100+05:30,197,,11.5,43.7,211,,,,,162
2023-12-10T10:30:26.371+05:30,198,,11.0,44.8,321,,,,,163
2023-12-10T10:34:34.144+05:30,199,,12.0,45.6,331,,,,,164
2023-12-10T10:42:15.328+05:30,201,,10.5,47.1,221,,,,,165
2023-12-10T10:50:39.303+05:30,204,,15.0,49.0,311,,1,,,166
2023-12-10T10:54:01.575+05:30,205,,15.2,49.9,211,,,,,167
2023-12-10T10:59:46.200+05:30,206,,15.4,51.2,311,,,,,168
2023-12-10T11:05:02.033+05:30,207,,14.2,52.2,311,,,,,169
2023-12-10T11:08:41.137+05:30,208,,14.0,53.3,311,,,,,170
2023-12-10T11:13:54.651+05:30,209,,13.6,54.6,311,,,,1 kayak and 1 trawler around,171
2023-12-11T07:00:43.236+05:30,212,2,14.5,0.25,111,,,,,172
2023-12-11T07:06:19.620+05:30,213,,12.0,1.4,211,1,1,,,173
2023-12-11T07:11:01.855+05:30,214,,12.0,2.3,211,1,,,,174
2023-12-11T07:17:13.183+05:30,215,,12.0,3.6,211,,,,2 small fishing boats returning,175
2023-12-11T07:21:35.790+05:30,216,,13.0,4.5,211,,,2,,176
2023-12-11T07:26:59.355+05:30,219,,11.0,5.5,211,,,2,1 kayak,177
2023-12-11T07:45:11.247+05:30,222,,13.6,9.4,211,1,,,,178
2023-12-11T07:49:55.747+05:30,223,,13.1,10.4,211,,,,,179
2023-12-11T08:00:28.987+05:30,224,,12.5,12.7,221,,,,,180
2023-12-11T08:06:16.491+05:30,225,,12.3,14.0,121,1,,3,Dolphin watching,181
2023-12-11T08:11:21.124+05:30,226,,12.5,15.0,221,1,,3,,182
2023-12-11T08:15:34.067+05:30,228,,13.0,15.9,111,3,,,,183
2023-12-11T08:22:31.422+05:30,229,,12.9,17.4,211,,1,,,184
2023-12-11T08:31:38.186+05:30,230,,13.0,19.3,221,,,,,185
2023-12-11T08:39:07.500+05:30,231,,13.0,21.0,211,,,,,186
2023-12-11T08:48:15.502+05:30,233,,12.5,22.9,311,,,,,187
2023-12-11T08:53:24.588+05:30,234,,14.0,24.0,211,,,,,188
2023-12-11T09:01:53.412+05:30,236,,14.5,25.8,211,,,,,189
2023-12-11T09:06:45.301+05:30,237,,13.0,26.9,211,,,,,190
2023-12-11T09:16:33.010+05:30,238,,13.5,29.0,311,,1,,,191
2023-12-11T09:21:58.393+05:30,239,,12.0,30.1,321,,,,,192
2023-12-11T09:28:15.492+05:30,240,,12.0,31.4,321,,,,,193
2023-12-11T09:33:58.716+05:30,241,,12.0,32.5,221,,,,,194
2023-12-11T09:43:14.999+05:30,243,,12.2,34.5,221,,,,,195
2023-12-11T09:54:47.094+05:30,244,,12.0,36.7,221,1,,,,196
2023-12-11T09:59:55.526+05:30,245,,12.0,37.8,121,,,1,1 trawler returning. 1 dukhon watching,197
2023-12-11T10:07:14.246+05:30,247,,12.6,39.2,211,,,,,198
2023-12-11T10:10:52.438+05:30,248,,12.0,39.9,221,,,,,199
2023-12-11T10:17:17.849+05:30,249,,12.4,41.3,221,,,1,Tourist boat returning,200
2023-12-11T10:20:57.142+05:30,250,,13.0,42.0,221,,,,,201
2023-12-12T06:48:34.377+05:30,252,2,11.0,0.17,111,3,,,,202
2023-12-12T06:54:14.566+05:30,253,,13.0,1.3,111,1,3,1,Large boats still. Tourist boat not watching dolphins,203
2023-12-12T07:00:32.684+05:30,254,,13.0,2.7,211,,2,,Large boats still,204
2023-12-12T07:04:49.327+05:30,255,,13.0,3.6,211,,,,,205
2023-12-12T07:08:15.327+05:30,256,,13.3,4.3,211,,,,,206
2023-12-12T07:13:54.913+05:30,257,,12.8,5.5,211,,,,9 speed boats docked,207
2023-12-12T07:20:11.480+05:30,258,,13.0,6.9,211,,,,3 small boats docked,208
2023-12-12T07:24:50.915+05:30,259,,12.6,7.8,241,,,,,209
2023-12-12T07:34:14.801+05:30,260,,13.0,9.9,211,,,,,210
2023-12-12T07:42:39.180+05:30,261,,12.5,11.7,221,,,,,211
2023-12-12T07:49:03.692+05:30,262,,12.3,13.0,211,,,,Few tourist and fishing boats docked,212
2023-12-12T07:54:23.421+05:30,265,,12.3,14.1,211,,,,,213
2023-12-12T07:59:53.377+05:30,266,,12.2,15.3,211,,1,,,214
2023-12-12T08:14:40.644+05:30,267,,13.0,18.4,211,,,,,215
2023-12-12T08:23:13.434+05:30,268,,13.6,20.2,321,,,,,216
2023-12-12T08:29:45.002+05:30,269,,12.6,21.6,221,,,,4 small boats parked,217
2023-12-12T08:38:07.527+05:30,270,,13.0,23.3,211,,,,"12 speed boats, 11 medium boats, 2 large boats docked",218
2023-12-12T08:45:20.579+05:30,271,,13.2,24.9,111,,,,,219
2023-12-12T08:52:05.615+05:30,272,,13.2,26.4,211,,,,,220
2023-12-12T09:00:49.411+05:30,273,,13.0,28.5,221,,,,"3 speed boats, 1 tourist, 3 trawlers docked",221
2023-12-12T09:07:36.551+05:30,274,,13.0,29.7,211,,,,,222
2023-12-12T09:31:04.604+05:30,277,,14.0,33.4,211,,,,,223
2023-12-12T09:38:02.145+05:30,278,,13.4,35.0,311,,,,1 large boat parked,224
2023-12-12T09:55:11.812+05:30,282,,12.0,38.5,211,,,,"3 fishing boats docked, 1 trawler Trawling. Stopped here for 15 mins due to engine heating",225
2023-12-12T10:18:42.572+05:30,283,,13.0,40.8,211,,,,,226
2023-12-12T10:29:09.186+05:30,286,,13.4,43.2,211,,,,,227
2023-12-12T10:38:56.315+05:30,288,,13.5,45.3,211,1,,2,,228
2023-12-12T10:44:37.238+05:30,289,,12.9,46.7,211,,1,2,,229
2023-12-12T10:48:44.358+05:30,290,,13.0,47.5,211,,,7,Several boats of all kind,230
2023-12-12T10:54:22.006+05:30,291,,13.5,48.8,211,,,2,Diving boats ,231
2023-12-12T11:00:31.225+05:30,293,,12.6,50.1,311,,,,,232
2023-12-12T11:05:03.844+05:30,294,,12.6,51.1,311,,,3,1 large barge,233
2023-12-12T11:10:04.060+05:30,295,,12.8,52.1,311,,,1,,234
2023-12-12T11:15:07.099+05:30,296,,13.0,53.1,311,,,,,235
2023-12-12T11:21:30.410+05:30,297,,12.6,54.5,311,,,1,2 Large barges,236
2023-12-12T11:28:04.765+05:30,298,,12.0,55.8,311,,,1,Very rough sea ,237
2023-12-12T11:34:23.562+05:30,299,,12.0,57.0,311,,,,1 large barge,238
2023-12-12T11:39:57.186+05:30,300,,13.0,58.0,311,,,,,239
2023-12-12T11:47:04.694+05:30,302,,12.5,59.6,311,,,,No tourist boats around. Weird.,240
2023-12-12T11:50:52.736+05:30,304,,12.0,60.4,311,,,,,241
2023-12-12T11:54:48.829+05:30,305,,12.8,61.2,311,1,,21,,242
2023-12-12T12:02:32.258+05:30,307,,12.8,62.9,321,,,2,,243
2023-12-12T12:07:01.556+05:30,308,,11.9,63.7,321,,,,,244
2023-12-12T12:12:03.672+05:30,309,,12.3,64.7,221,,,,,245
2023-12-13T06:49:52.863+05:30,310,2,12.0,0.8,111,3,1,,,246
2023-12-13T06:55:38.745+05:30,311,,11.3,2.0,211,1,,,,247
2023-12-13T07:00:52.507+05:30,312,,13.3,3.0,211,1,,,,248
2023-12-13T07:06:14.644+05:30,313,,13.5,4.2,211,2,,,,249
2023-12-13T07:10:58.914+05:30,314,,13.3,5.2,211,1,,,,250
2023-12-13T07:15:28.241+05:30,315,,13.0,6.1,211,5,,,,251
2023-12-13T07:21:35.652+05:30,316,,13.2,7.4,211,8,,,,252
2023-12-13T07:26:17.782+05:30,317,,13.0,8.35,211,1,,,,253
2023-12-13T07:34:36.399+05:30,318,,13.3,10.1,211,,,,,254
2023-12-13T07:40:05.664+05:30,319,,13.0,11.3,211,,,,Many gillnets laid out,255
2023-12-13T07:46:41.490+05:30,320,,12.3,12.7,211,,,,,256
2023-12-13T07:51:38.370+05:30,321,,12.1,13.8,211,2,,,,257
2023-12-13T07:56:02.731+05:30,322,,12.6,14.7,211,,2,1,,258
2023-12-13T08:01:23.508+05:30,324,,12.2,15.9,211,1,1,,,259
2023-12-13T08:06:18.660+05:30,325,,12.0,17.0,311,1,,,,260
2023-12-13T08:12:35.782+05:30,326,,12.5,18.3,211,,2,,Waters outside the bay are choppy,261
2023-12-13T08:20:13.332+05:30,327,,12.5,19.9,311,1,,,,262
2023-12-13T08:26:47.900+05:30,328,,13.1,21.3,211,,,,,263
2023-12-13T08:31:21.060+05:30,329,,12.5,22.3,321,,,,,264
2023-12-13T08:36:28.037+05:30,330,,13.1,23.4,321,,,,,265
2023-12-13T08:47:15.614+05:30,332,,12.5,24.8,221,,,,Many tourist boats docked,266
2023-12-13T08:55:25.561+05:30,334,,13.2,26.5,211,2,,,Many tourist boats. Rough sea,267
2023-12-13T09:00:49.353+05:30,335,,13.5,27.6,211,,1,,,268
2023-12-13T09:06:51.819+05:30,336,,12.0,28.8,311,,,,,269
2023-12-13T09:16:21.767+05:30,337,,12.1,30.8,211,,,,"Few fishing, many tourist boats",270
2023-12-13T09:22:07.625+05:30,338,,13.0,31.9,211,,,,,271
2023-12-13T09:26:20.691+05:30,339,,12.9,32.8,211,1,,,,272
2023-12-13T09:32:23.904+05:30,340,,13.5,34.1,211,,,,,273
2023-12-13T09:36:56.580+05:30,341,,12.9,35.1,321,,,,Few tourist boats parked,274
2023-12-13T09:42:35.604+05:30,343,,15.0,36.3,221,,,,,275
2023-12-13T09:45:45.165+05:30,344,,15.6,37.0,221,,,,,276
